Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
36,1997,P,Fernando Valenzuela,36,4,7,5,1,1,0,0,0,1,0,0,0,0,0.2,0.2,0.2,0.4,6,1,0,0,2,0,0,Left,No
37,1997,P,Danny Jackson,35,4,7,7,1,1,0,0,0,0,0,0,0,4,0.143,0.143,0.143,0.286,-24,1,0,0,0,0,0,Right,No
38,1997,P,Mike Busby,24,3,4,4,0,2,0,0,0,0,0,0,0,2,0.5,0.5,0.5,1.0,165,2,0,0,0,0,0,Right,No
39,1997,P,Brady Raggio,24,15,4,3,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,0,1,0,0,Right,No
40,1997,P,Sean Lowe,26,5,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,77,1,0,0,0,0,0,Right,No
41,1997,P,John Frascatore,27,57,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
42,1997,P,Lance Painter,29,14,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
43,1997,P,T.J. Mathews,27,39,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
44,1997,P,Curtis King,26,28,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
45,1997,P,Dennis Eckersley,42,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
46,1997,P,Rich Batchelor,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
47,1997,P,Rick Honeycutt,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
48,1997,P,Eric Ludwick,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
49,1997,P,José Bautista,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
50,1997,P,Tom McGraw,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
51,1997,P,Tony Fossas,39,68,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
1,1996,C,Tom Pagnozzi,33,119,440,407,48,110,23,0,13,55,4,1,24,78,0.27,0.311,0.423,0.734,93,172,9,2,3,4,2,Right,No
2,1996,1B,John Mabry,25,151,591,543,63,161,30,2,13,74,3,2,37,84,0.297,0.342,0.431,0.773,104,234,21,3,3,5,11,Left,No
3,1996,2B,Luis Alicea,30,129,447,380,54,98,26,3,5,42,11,3,52,78,0.258,0.35,0.382,0.731,94,145,4,5,4,6,10,Right,Yes
4,1996,SS,Royce Clayton,26,129,531,491,64,136,20,4,6,35,33,15,33,89,0.277,0.321,0.371,0.692,83,182,13,1,2,4,4,Right,No
5,1996,3B,Gary Gaetti,37,141,574,522,71,143,27,4,23,80,2,2,35,97,0.274,0.326,0.473,0.799,109,247,10,8,4,5,6,Right,No
6,1996,LF,Ron Gant,31,122,500,419,74,103,14,2,30,82,13,4,73,98,0.246,0.359,0.504,0.862,126,211,9,3,1,4,5,Right,No
7,1996,CF,Ray Lankford,29,149,635,545,100,150,36,8,21,86,35,7,79,133,0.275,0.366,0.486,0.852,124,265,12,3,1,7,10,Left,No
8,1996,RF,Brian Jordan,29,140,560,513,82,159,36,1,17,104,22,5,29,84,0.31,0.349,0.483,0.833,119,248,6,7,2,9,4,Right,No
9,1996,OF,Willie McGee,37,123,331,309,52,95,15,2,5,41,5,2,18,60,0.307,0.348,0.417,0.766,103,129,8,2,1,1,2,Right,Yes
10,1996,SS,Ozzie Smith,41,82,261,227,36,64,10,2,2,18,7,5,25,9,0.282,0.358,0.37,0.728,94,84,5,2,7,0,0,Right,Yes
11,1996,C,Danny Sheaffer,34,79,214,198,10,45,9,3,2,20,3,3,9,25,0.227,0.271,0.333,0.605,60,66,13,3,4,0,0,Right,No
12,1996,LF,Mark Sweeney,26,98,209,170,32,45,9,0,3,22,3,0,33,29,0.265,0.387,0.371,0.758,103,63,4,1,5,0,2,Left,No
13,1996,2B,Mike Gallego,35,51,159,143,12,30,2,0,0,4,0,0,12,31,0.21,0.276,0.224,0.499,35,32,0,1,3,0,1,Right,No
14,1996,3B,David Bell,23,62,158,145,12,31,6,0,1,9,1,1,10,22,0.214,0.268,0.276,0.543,45,40,3,1,0,1,2,Right,No
15,1996,C,Pat Borders,33,26,71,69,3,22,3,0,0,4,0,1,1,14,0.319,0.329,0.362,0.691,84,25,1,0,1,0,0,Right,No
16,1996,1B,Dmitri Young,22,16,34,29,3,7,0,0,0,2,0,1,4,5,0.241,0.353,0.241,0.594,62,7,1,1,0,0,0,Right,Yes
17,1996,OF,Terry Bradshaw,27,15,25,21,4,7,1,0,0,3,0,1,3,2,0.333,0.417,0.381,0.798,114,8,0,0,1,0,0,Left,No
18,1996,OF,Miguel Mejia,21,45,23,23,10,2,0,0,0,0,6,3,0,10,0.087,0.087,0.087,0.174,-54,2,0,0,0,0,0,Right,No
19,1996,C,Mike Difelice,27,4,7,7,0,2,1,0,0,2,0,0,0,1,0.286,0.286,0.429,0.714,87,3,0,0,0,0,0,Right,No
20,1996,2B,Aaron Holbert,23,1,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
21,1996,P,Andy Benes,28,36,85,73,5,11,4,0,0,6,0,0,1,37,0.151,0.158,0.205,0.363,-4,15,0,0,9,2,0,Right,No
22,1996,P,Todd Stottlemyre,31,34,82,66,8,15,0,0,0,2,1,1,7,27,0.227,0.301,0.227,0.529,43,15,0,0,9,0,0,Left,No
23,1996,P,Donovan Osborne,27,30,72,59,6,13,4,0,1,10,0,1,3,24,0.22,0.258,0.339,0.597,57,20,0,0,10,0,0,Right,Yes
24,1996,P,Alan Benes,24,34,70,61,4,9,3,0,0,5,0,0,2,25,0.148,0.175,0.197,0.371,-1,12,1,0,7,0,0,Right,No
25,1996,P,Mike Morgan,36,18,42,33,1,2,0,0,0,0,0,0,0,14,0.061,0.061,0.061,0.121,-68,2,0,0,9,0,0,Right,No
26,1996,P,Mark Petkovsek,30,48,17,16,1,3,0,0,0,0,0,0,0,3,0.188,0.235,0.188,0.423,14,3,0,1,0,0,0,Right,No
27,1996,P,Danny Jackson,34,13,10,9,1,3,2,0,0,4,0,0,0,1,0.333,0.333,0.556,0.889,131,5,0,0,1,0,0,Right,No
28,1996,P,Tom Urbani,28,5,6,6,0,1,0,0,0,0,0,0,0,1,0.167,0.167,0.167,0.333,-11,1,0,0,0,0,0,Left,No
29,1996,P,T.J. Mathews,26,67,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
30,1996,P,Cory Bailey,25,51,4,1,2,0,0,0,0,0,0,0,2,0,0.0,0.667,0.0,0.667,97,0,0,0,1,0,0,Right,No
31,1996,P,Rick Honeycutt,42,61,3,1,0,0,0,0,0,1,0,0,2,1,0.0,0.667,0.0,0.667,97,0,0,0,0,0,0,Left,No
32,1996,P,Jeff Parrett,34,33,3,2,1,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,-1,0,0,0,0,0,0,Right,No
33,1996,P,Mike Busby,23,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,167,1,0,0,0,0,0,Right,No
34,1996,P,Eric Ludwick,24,6,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
35,1996,P,Dennis Eckersley,41,63,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
36,1996,P,Rich Batchelor,29,11,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
37,1996,P,Tony Fossas,38,65,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,0,0,0,0,Left,No
38,1996,P,Brian Barber,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1995,C,Tom Pagnozzi,32,62,232,219,17,47,14,1,2,15,0,1,11,31,0.215,0.254,0.315,0.569,51,69,9,1,0,1,0,Right,No
2,1995,1B,John Mabry,24,129,418,388,35,119,21,1,5,41,0,3,24,45,0.307,0.347,0.405,0.752,100,157,6,2,0,4,5,Left,No
3,1995,2B,José Oquendo,31,88,260,220,31,46,8,3,2,17,1,1,35,21,0.209,0.316,0.3,0.616,66,66,1,0,4,1,3,Right,Yes
4,1995,SS,Tripp Cromer,27,105,369,345,36,78,19,0,5,18,0,0,14,66,0.226,0.261,0.325,0.586,55,112,14,4,1,5,2,Right,No
5,1995,3B,Scott Cooper,27,118,430,374,29,86,18,2,3,40,0,3,49,85,0.23,0.321,0.313,0.634,70,117,9,3,0,4,3,Left,No
6,1995,LF,Bernard Gilkey,28,121,531,480,73,143,33,4,17,69,12,6,42,70,0.298,0.358,0.49,0.848,124,235,17,5,1,3,3,Right,No
7,1995,CF,Ray Lankford,28,132,553,483,81,134,35,2,25,82,24,8,63,110,0.277,0.36,0.513,0.873,130,248,10,2,0,5,6,Left,No
8,1995,RF,Brian Jordan,28,131,525,490,83,145,20,4,22,81,24,9,22,79,0.296,0.339,0.488,0.827,117,239,5,11,0,2,4,Right,No
9,1995,C,Danny Sheaffer,33,76,232,208,24,48,10,1,5,30,0,0,23,38,0.231,0.306,0.361,0.667,77,75,8,0,0,1,2,Right,No
10,1995,SS,Ozzie Smith,40,44,182,156,16,31,5,1,0,11,4,3,17,12,0.199,0.282,0.244,0.526,42,38,6,2,5,2,0,Right,Yes
11,1995,CI,Darnell Coles,33,63,158,138,13,31,7,0,3,16,0,0,16,20,0.225,0.316,0.341,0.657,75,47,1,3,0,1,1,Right,No
12,1995,2B,David Bell,22,39,151,144,13,36,7,2,2,19,1,2,4,25,0.25,0.278,0.368,0.646,71,53,0,2,0,1,0,Right,No
13,1995,1B,Todd Zeile,29,34,148,127,16,37,6,0,5,22,1,0,18,23,0.291,0.378,0.457,0.835,122,58,2,1,0,2,1,Right,No
14,1995,OF,Allen Battle,26,61,137,118,13,32,5,0,0,2,3,3,15,26,0.271,0.358,0.314,0.672,81,37,0,1,3,0,0,Right,No
15,1995,C,Scott Hemond,29,57,134,118,11,17,1,0,3,9,0,0,12,31,0.144,0.233,0.229,0.462,24,27,8,2,1,1,0,Right,No
16,1995,2B,Geronimo Pena,28,32,124,101,20,27,6,1,1,8,3,2,16,30,0.267,0.367,0.376,0.743,99,38,2,1,4,2,1,Right,Yes
17,1995,2B,Ramon Caraballo,26,34,110,99,10,20,4,1,2,3,3,2,6,33,0.202,0.269,0.323,0.592,57,32,1,3,2,0,0,Right,Yes
18,1995,1B,Mark Sweeney,25,37,90,77,5,21,2,0,2,13,1,1,10,15,0.273,0.348,0.377,0.725,93,29,3,0,1,2,0,Left,No
19,1995,1B,Gerald Perry,34,65,85,79,4,13,4,0,0,5,0,0,6,12,0.165,0.224,0.215,0.439,18,17,2,0,0,0,0,Left,No
20,1995,3B,Jose Oliva,24,22,82,74,8,9,1,0,2,8,0,0,5,24,0.122,0.195,0.216,0.411,10,16,3,2,0,1,0,Right,No
21,1995,OF,Terry Bradshaw,26,19,46,44,6,10,1,1,0,2,1,2,2,10,0.227,0.261,0.295,0.556,48,13,0,0,0,0,0,Left,No
22,1995,CI,Chris Sabo,33,5,14,13,0,2,1,0,0,3,1,0,1,2,0.154,0.214,0.231,0.445,19,3,1,0,0,0,0,Right,No
23,1995,UT,Ray Giannelli,29,9,14,11,0,1,0,0,0,0,0,0,3,4,0.091,0.286,0.091,0.377,6,1,0,0,0,0,0,Left,No
24,1995,MI,Tim Hulett,35,4,11,11,0,2,0,0,0,0,0,0,0,3,0.182,0.182,0.182,0.364,-3,2,0,0,0,0,0,Right,No
25,1995,2B,Manuel Lee,30,1,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,436,1,0,0,0,0,0,Right,Yes
26,1995,P,Mark Petkovsek,29,26,46,37,4,3,0,0,0,2,0,0,5,11,0.081,0.186,0.081,0.267,-25,3,0,0,3,1,0,Right,No
27,1995,P,Allen Watson,24,21,41,36,5,15,4,0,0,5,0,0,2,7,0.417,0.447,0.528,0.975,159,19,1,0,3,0,0,Left,No
28,1995,P,Ken Hill,29,18,39,31,1,6,0,0,0,3,0,0,2,10,0.194,0.235,0.194,0.429,16,6,0,0,5,1,0,Right,No
29,1995,P,Donovan Osborne,26,19,38,31,1,5,3,0,0,4,0,0,3,15,0.161,0.257,0.258,0.515,38,8,0,1,3,0,0,Right,Yes
30,1995,P,Mike Morgan,35,17,37,31,1,1,0,0,0,0,0,0,3,18,0.032,0.118,0.032,0.15,-57,1,0,0,3,0,0,Right,No
31,1995,P,Danny Jackson,33,19,36,31,1,5,2,0,0,2,0,0,1,16,0.161,0.188,0.226,0.413,10,7,0,0,4,0,0,Right,No
32,1995,P,Tom Urbani,27,24,24,19,3,6,1,0,1,3,0,0,3,6,0.316,0.409,0.526,0.935,147,10,0,0,2,0,0,Left,No
33,1995,P,Rich DeLucia,30,56,12,10,1,2,0,0,0,0,0,0,1,3,0.2,0.273,0.2,0.473,29,2,1,0,1,0,0,Right,No
34,1995,P,Brian Barber,22,9,9,8,0,1,0,0,0,0,0,0,1,2,0.125,0.222,0.125,0.347,-4,1,0,0,0,0,0,Right,No
35,1995,P,John Frascatore,25,14,9,7,0,0,0,0,0,0,0,0,1,6,0.0,0.125,0.0,0.125,-63,0,0,0,1,0,0,Right,No
36,1995,P,Vicente Palacios,31,20,7,6,1,1,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,-11,1,0,0,1,0,0,Right,No
37,1995,P,Alan Benes,23,3,6,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
38,1995,P,John Habyan,31,31,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
39,1995,P,T.J. Mathews,25,23,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
40,1995,P,Jeff Parrett,33,59,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,168,1,0,0,0,0,0,Right,No
41,1995,P,René Arocha,31,41,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
42,1995,P,Tom Henke,37,52,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
43,1995,P,Doug Creek,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
44,1995,P,Rich Rodriguez,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
45,1995,P,Tony Fossas,37,58,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
46,1995,P,Cory Bailey,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1994,C,Tom Pagnozzi,31,70,266,243,21,66,12,1,7,40,0,0,21,39,0.272,0.327,0.416,0.743,94,101,3,0,0,2,5,Right,No
2,1994,1B,Gregg Jefferies,26,103,447,397,52,129,27,1,12,55,12,5,45,26,0.325,0.391,0.489,0.88,130,194,9,1,0,4,12,Right,Yes
3,1994,2B,Geronimo Pena,27,83,248,213,33,54,13,1,11,34,9,1,24,54,0.254,0.344,0.479,0.823,114,102,3,6,4,1,1,Right,Yes
4,1994,SS,Ozzie Smith,39,98,433,381,51,100,18,3,3,30,6,3,38,26,0.262,0.326,0.349,0.675,78,133,3,0,10,4,3,Right,Yes
5,1994,3B,Todd Zeile,28,113,477,415,62,111,25,1,19,75,1,3,52,56,0.267,0.348,0.47,0.818,113,195,13,3,0,7,3,Right,No
6,1994,LF,Bernard Gilkey,27,105,431,380,52,96,22,1,6,45,15,8,39,65,0.253,0.336,0.363,0.7,85,138,6,10,0,2,2,Right,No
7,1994,CF,Ray Lankford,27,109,482,416,89,111,25,5,19,57,11,10,58,113,0.267,0.359,0.488,0.847,121,203,0,4,0,4,3,Left,No
8,1994,RF,Mark Whiten,27,92,374,334,57,98,18,2,14,53,10,5,37,75,0.293,0.364,0.485,0.849,121,162,8,1,0,2,9,Right,Yes
9,1994,2B,Luis Alicea,28,88,242,205,32,57,12,5,5,29,4,5,30,38,0.278,0.373,0.459,0.832,118,94,1,3,1,3,4,Right,Yes
10,1994,OF,Brian Jordan,27,53,197,178,14,46,8,2,5,15,4,3,16,40,0.258,0.32,0.41,0.73,91,73,6,1,0,2,0,Right,No
11,1994,MI,José Oquendo,30,55,152,129,13,34,2,2,0,9,1,1,21,16,0.264,0.364,0.31,0.674,80,40,6,0,1,1,4,Right,Yes
12,1994,C,Terry McGriff,30,42,131,114,10,25,6,0,0,13,0,0,13,11,0.219,0.308,0.272,0.58,55,31,8,2,1,1,1,Right,No
13,1994,1B,Gerald Perry,33,60,92,77,12,25,7,0,3,18,1,1,15,12,0.325,0.435,0.532,0.967,153,41,4,0,0,0,1,Left,No
14,1994,C,Erik Pappas,28,15,58,44,8,4,1,0,0,5,0,0,10,13,0.091,0.259,0.114,0.372,3,5,1,1,0,3,0,Right,No
15,1994,CI,Stan Royer,26,39,57,57,3,10,5,0,1,2,0,0,0,18,0.175,0.175,0.316,0.491,26,18,1,0,0,0,0,Right,No
16,1994,OF,Gerald Young,29,16,44,41,5,13,3,2,0,3,2,1,3,8,0.317,0.364,0.488,0.851,122,20,1,0,0,0,0,Right,Yes
17,1994,RF,John Mabry,23,6,25,23,2,7,3,0,0,3,0,0,2,4,0.304,0.36,0.435,0.795,108,10,0,0,0,0,0,Left,No
18,1994,CI,Scott Coolbaugh,28,15,23,21,4,4,0,0,2,6,0,0,1,4,0.19,0.217,0.476,0.694,76,10,3,0,0,1,0,Right,No
19,1994,SS,Tripp Cromer,26,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
20,1994,P,Bob Tewksbury,33,24,60,54,4,10,2,0,0,3,0,0,2,19,0.185,0.214,0.222,0.437,15,12,1,0,4,0,0,Right,No
21,1994,P,Allen Watson,23,22,46,38,3,6,2,1,0,5,0,0,1,4,0.158,0.179,0.263,0.443,15,10,0,0,7,0,0,Left,No
22,1994,P,Vicente Palacios,30,31,36,33,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,-100,0,1,0,3,0,0,Right,No
23,1994,P,Omar Olivares,26,15,31,28,4,6,0,0,1,3,0,0,1,8,0.214,0.241,0.321,0.563,47,9,1,0,2,0,0,Right,No
24,1994,P,Tom Urbani,26,20,29,24,1,6,0,0,0,1,0,0,2,5,0.25,0.308,0.25,0.558,50,6,0,0,3,0,0,Left,No
25,1994,P,Rick Sutcliffe,38,16,26,23,0,3,1,0,0,1,0,0,0,6,0.13,0.13,0.174,0.304,-21,4,1,0,3,0,0,Left,No
26,1994,P,Rheal Cormier,27,8,16,14,2,4,0,0,0,1,0,0,1,2,0.286,0.375,0.286,0.661,78,4,0,1,0,0,0,Left,No
27,1994,P,René Arocha,30,45,13,9,0,1,1,0,0,0,0,0,1,5,0.111,0.2,0.222,0.422,11,2,0,0,3,0,0,Right,No
28,1994,P,Bryan Eversgerd,25,40,8,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,2,0,0,Right,No
29,1994,P,Frank Cimorelli,25,11,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
30,1994,P,Gary Buckels,28,10,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
31,1994,P,John Habyan,30,52,1,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
32,1994,P,John Frascatore,24,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
33,1994,P,Rich Rodriguez,31,56,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
34,1994,P,Willie Smith,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
35,1994,P,Steve Dixon,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
36,1994,P,Rob Murphy,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No
37,1994,P,Mike Perez,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1993,C,Tom Pagnozzi,30,92,355,330,31,85,15,1,7,41,1,0,19,30,0.258,0.296,0.373,0.669,81,123,7,1,0,5,6,Right,No
2,1993,1B,Gregg Jefferies,25,142,612,544,89,186,24,3,16,83,46,9,62,32,0.342,0.408,0.485,0.894,142,264,15,2,0,4,7,Right,Yes
3,1993,2B,Luis Alicea,27,115,421,362,50,101,19,3,3,46,11,1,47,54,0.279,0.362,0.373,0.735,101,135,9,4,1,7,2,Right,Yes
4,1993,SS,Ozzie Smith,38,141,603,545,75,157,22,6,1,53,21,8,43,18,0.288,0.337,0.356,0.693,89,194,11,1,7,7,1,Right,Yes
5,1993,3B,Todd Zeile,27,157,647,571,82,158,36,1,17,103,5,4,70,76,0.277,0.352,0.433,0.785,112,247,15,0,0,6,5,Right,No
6,1993,LF,Bernard Gilkey,26,137,622,557,99,170,40,5,16,70,15,10,56,66,0.305,0.37,0.481,0.851,129,268,16,4,0,5,2,Right,No
7,1993,CF,Ray Lankford,26,127,495,407,64,97,17,3,7,45,14,14,81,111,0.238,0.366,0.346,0.713,95,141,5,3,1,3,7,Left,No
8,1993,RF,Mark Whiten,26,152,626,562,81,142,13,4,25,99,15,8,58,110,0.253,0.323,0.423,0.746,101,238,11,2,0,4,9,Right,Yes
9,1993,2B,Geronimo Pena,26,74,289,254,34,65,19,2,5,30,13,5,25,71,0.256,0.33,0.406,0.735,99,103,3,4,4,2,0,Right,Yes
10,1993,C,Erik Pappas,27,82,266,228,25,63,12,0,1,28,1,3,35,35,0.276,0.368,0.342,0.711,95,78,7,0,0,3,2,Right,No
11,1993,OF,Brian Jordan,26,67,242,223,33,69,10,6,10,44,6,6,12,35,0.309,0.351,0.543,0.894,139,121,6,4,0,3,0,Right,No
12,1993,UT,Rod Brewer,27,110,169,147,15,42,8,0,2,20,1,0,17,26,0.286,0.359,0.381,0.74,102,56,5,1,2,2,5,Left,No
13,1993,1B,Gerald Perry,32,96,116,98,21,33,5,0,4,16,1,1,18,23,0.337,0.44,0.51,0.95,158,50,4,0,0,0,2,Left,No
14,1993,MI,José Oquendo,29,46,89,73,7,15,0,0,0,4,0,0,12,8,0.205,0.314,0.205,0.519,45,15,5,0,3,1,1,Right,Yes
15,1993,CI,Tracy Woodson,30,62,79,77,4,16,2,0,0,2,0,0,1,14,0.208,0.215,0.234,0.449,22,18,1,0,0,1,0,Right,No
16,1993,SS,Tim Jones,30,29,73,61,13,16,6,0,0,1,2,2,9,8,0.262,0.366,0.361,0.727,99,22,0,1,2,0,0,Left,No
17,1993,C,Hector Villanueva,28,17,59,55,7,8,1,0,3,9,0,0,4,17,0.145,0.203,0.327,0.531,42,18,3,0,0,0,1,Right,No
18,1993,CI,Stan Royer,25,24,48,46,4,14,2,0,1,8,0,1,2,14,0.304,0.333,0.413,0.746,102,19,2,0,0,0,0,Right,No
19,1993,SS,Tripp Cromer,25,10,24,23,1,2,0,0,0,0,0,0,1,6,0.087,0.125,0.087,0.212,-41,2,0,0,0,0,0,Right,No
20,1993,LF,Ozzie Canseco,28,6,18,17,0,3,0,0,0,0,0,0,1,3,0.176,0.222,0.176,0.399,10,3,0,0,0,0,0,Right,No
21,1993,LF,Lonnie Maclin,26,12,14,13,2,1,0,0,0,1,1,0,0,5,0.077,0.071,0.077,0.148,-60,1,0,0,0,1,0,Left,No
22,1993,C,Marc Ronan,23,6,12,12,0,1,0,0,0,0,0,0,0,5,0.083,0.083,0.083,0.167,-54,1,0,0,0,0,0,Left,No
23,1993,P,Bob Tewksbury,32,33,80,69,4,14,1,0,0,5,0,0,4,27,0.203,0.247,0.217,0.464,28,15,1,0,7,0,0,Right,No
24,1993,P,René Arocha,29,32,67,58,3,6,1,0,0,3,0,0,2,24,0.103,0.133,0.121,0.254,-30,7,0,0,7,0,0,Right,No
25,1993,P,Donovan Osborne,24,29,59,49,4,10,1,0,0,3,0,0,3,13,0.204,0.25,0.224,0.474,30,11,0,0,7,0,0,Right,Yes
26,1993,P,Rheal Cormier,26,38,53,47,5,11,2,0,0,4,0,0,0,11,0.234,0.234,0.277,0.511,38,13,1,0,6,0,0,Left,No
27,1993,P,Joe Magrane,28,22,40,35,2,4,1,0,0,1,0,0,1,20,0.114,0.139,0.143,0.282,-23,5,0,0,4,0,0,Right,No
28,1993,P,Omar Olivares,25,59,29,26,1,7,1,0,0,2,0,0,0,7,0.269,0.269,0.308,0.577,57,8,0,0,3,0,0,Right,No
29,1993,P,Allen Watson,22,16,28,26,0,6,3,0,0,2,0,0,1,2,0.231,0.259,0.346,0.605,63,9,1,0,1,0,0,Left,No
30,1993,P,Tom Urbani,25,18,20,16,2,3,0,0,0,0,0,0,2,6,0.188,0.278,0.188,0.465,30,3,0,0,2,0,0,Left,No
31,1993,P,Paul Kilgus,31,22,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,9,1,0,0,0,0,0,Left,No
32,1993,P,Les Lancaster,31,50,5,4,0,0,0,0,0,0,0,0,1,2,0.0,0.2,0.0,0.2,-40,0,0,0,0,0,0,Right,No
33,1993,P,Todd Burns,29,24,4,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No
34,1993,P,Rob Murphy,33,73,3,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0,173,1,0,0,1,0,0,Left,No
35,1993,P,Lee Guetterman,34,40,2,2,0,1,1,0,0,1,0,0,0,0,0.5,0.5,1.0,1.5,296,2,0,0,0,0,0,Left,No
36,1993,P,Lee Smith,35,55,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
