Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
16,1972,,Rich Folkers,25,1,0,1.0,3.38,9,0,4,0,0,0,13.1,12,5,5,0,5,0,7,0,0,1,56,105,2.47,1.275,8.1,0.0,3.4,4.7,1.4,Left,No
17,1972,,Charlie Hudson,22,1,0,1.0,5.11,12,0,6,0,0,0,12.1,10,8,7,0,7,0,4,1,0,0,54,69,3.7,1.378,7.3,0.0,5.1,2.9,0.57,Left,No
18,1972,,Al Hrabosky,22,1,0,1.0,0.0,5,0,2,0,0,0,7.0,2,0,0,0,3,0,9,0,0,1,27,0,1.11,0.714,2.6,0.0,3.9,11.6,3.0,Left,No
19,1972,,Lance Clemons,24,0,1,0.0,10.13,3,1,2,0,0,0,5.1,8,7,6,1,5,0,2,1,0,1,28,37,7.46,2.438,13.5,1.7,8.4,3.4,0.4,Left,No
20,1972,,Don Shaw,28,0,1,0.0,9.0,8,0,1,0,0,0,3.0,5,3,3,1,3,0,0,0,0,0,16,44,9.73,2.667,15.0,3.0,9.0,0.0,0.0,Left,No
21,1972,,Santiago Guzmán,22,0,0,0.0,9.0,1,0,1,0,0,0,1.0,1,1,1,1,0,0,0,0,0,0,4,55,15.4,1.0,9.0,9.0,0.0,0.0,0.0,Right,No
22,1972,,Tim Plodinec,25,0,0,0.0,27.0,1,0,0,0,0,0,0.1,3,1,1,0,0,0,0,0,0,1,4,30,2.4,9.0,81.0,0.0,0.0,0.0,0.0,Right,No
1,1971,SP,Steve Carlton,26,20,9,0.69,3.56,37,36,0,18,4,0,273.1,275,120,108,23,98,11,172,5,0,12,1171,102,3.42,1.365,9.1,0.8,3.2,5.7,1.76,Left,No
2,1971,SP,Bob Gibson,35,16,13,0.552,3.04,31,31,0,20,5,0,245.2,215,96,83,14,76,11,185,7,0,10,1026,119,2.7,1.185,7.9,0.5,2.8,6.8,2.43,Right,No
3,1971,SP,Reggie Cleveland,23,12,12,0.5,4.01,34,34,0,10,2,0,222.0,238,107,99,20,53,12,148,6,1,3,953,90,3.09,1.311,9.6,0.8,2.1,6.0,2.79,Right,No
4,1971,SP,Jerry Reuss,22,14,14,0.5,4.78,36,35,0,7,2,0,211.0,228,125,112,15,109,11,131,7,2,9,952,76,3.78,1.597,9.7,0.6,4.6,5.6,1.2,Left,No
5,1971,SP,Chris Zachary,27,3,10,0.231,5.32,23,12,4,1,1,0,89.2,114,58,53,3,26,7,48,4,0,3,399,68,2.82,1.561,11.4,0.3,2.6,4.8,1.85,Right,No
6,1971,CL,Moe Drabowsky,35,6,1,0.857,3.43,51,0,27,0,0,8,60.1,45,23,23,2,33,8,49,2,1,1,256,106,3.0,1.293,6.7,0.3,4.9,7.3,1.48,Right,No
7,1971,RP,Chuck Taylor,29,3,1,0.75,3.53,43,1,11,0,0,3,71.1,72,32,28,7,25,5,46,1,1,3,303,103,3.53,1.36,9.1,0.9,3.2,5.8,1.84,Right,No
8,1971,RP,Frank Linzy,30,4,3,0.571,2.12,50,0,24,0,0,6,59.1,49,18,14,2,27,11,24,0,0,2,250,171,3.45,1.281,7.4,0.3,4.1,3.6,0.89,Right,No
9,1971,RP,Don Shaw,27,7,2,0.778,2.65,45,0,18,0,0,2,51.0,45,19,15,1,31,6,19,1,0,3,227,137,3.84,1.49,7.9,0.2,5.5,3.4,0.61,Left,No
10,1971,RP,Al Santorini,23,0,2,0.0,3.81,19,5,4,0,0,2,49.2,51,21,21,2,19,2,21,1,0,1,212,96,3.34,1.409,9.2,0.4,3.4,3.8,1.11,Right,No
11,1971,,Mike Torrez,24,1,2,0.333,6.0,9,6,0,0,0,0,36.0,41,27,24,2,30,3,8,1,0,2,172,61,5.31,1.972,10.3,0.5,7.5,2.0,0.27,Right,No
12,1971,,Daryl Patterson,27,0,1,0.0,4.39,13,2,7,0,0,1,26.2,20,14,13,3,15,1,11,0,0,2,112,84,4.78,1.313,6.8,1.0,5.1,3.7,0.73,Right,No
13,1971,,Stan Williams,34,3,0,1.0,1.42,10,0,4,0,0,0,12.2,13,2,2,0,2,1,8,2,0,1,55,262,2.14,1.184,9.2,0.0,1.4,5.7,4.0,Right,No
14,1971,,Rudy Arroyo,21,0,1,0.0,5.4,9,0,3,0,0,0,11.2,18,8,7,2,5,1,5,0,0,1,55,69,5.11,1.971,13.9,1.5,3.9,3.9,1.0,Left,No
15,1971,,Santiago Guzmán,21,0,0,0.0,0.0,2,1,1,0,0,0,10.0,6,1,0,0,2,0,13,0,1,0,39,0,0.45,0.8,5.4,0.0,1.8,11.7,6.5,Right,No
16,1971,,George Brunet,36,0,1,0.0,5.79,7,0,1,0,0,0,9.1,12,6,6,3,7,0,4,0,0,0,46,65,8.02,2.036,11.6,2.9,6.8,3.9,0.57,Left,No
17,1971,,Dennis Higgins,31,1,0,1.0,3.86,3,0,1,0,0,0,7.0,6,3,3,0,2,0,6,0,0,0,29,99,1.59,1.143,7.7,0.0,2.6,7.7,3.0,Right,No
18,1971,,Bob Reynolds,24,0,0,0.0,10.29,4,0,1,0,0,0,7.0,15,8,8,2,6,1,4,1,0,0,41,37,8.02,3.0,19.3,2.6,7.7,5.1,0.67,Right,No
19,1971,,Harry Parker,23,0,0,0.0,7.2,4,0,1,0,0,0,5.0,6,4,4,2,2,0,2,0,0,0,23,54,8.05,1.6,10.8,3.6,3.6,3.6,1.0,Right,No
20,1971,,Fred Norman,28,0,0,0.0,12.27,4,0,0,0,0,0,3.2,7,5,5,1,7,0,4,0,0,3,24,33,9.54,3.818,17.2,2.5,17.2,9.8,0.57,Left,No
21,1971,,Al Hrabosky,21,0,0,0.0,0.0,1,0,0,0,0,0,2.0,2,0,0,0,0,0,2,0,0,0,8,0,0.45,1.0,9.0,0.0,0.0,9.0,0.0,Left,No
22,1971,,Bob Chlupsa,25,0,0,0.0,9.0,1,0,0,0,0,0,2.0,3,2,2,0,0,0,1,0,0,0,9,49,1.45,1.5,13.5,0.0,0.0,4.5,0.0,Right,No
23,1971,,Mike Jackson,25,0,0,0.0,0.0,1,0,0,0,0,0,0.2,1,0,0,0,1,0,0,0,0,0,4,0,6.95,3.0,13.5,0.0,13.5,0.0,0.0,Left,No
1,1970,SP,Bob Gibson,34,23,7,0.767,3.12,34,34,0,23,3,0,294.0,262,111,102,13,88,9,274,4,1,5,1213,133,2.29,1.19,8.0,0.4,2.7,8.4,3.11,Right,No
2,1970,SP,Steve Carlton,25,10,19,0.345,3.73,34,33,0,13,2,0,253.2,239,123,105,25,109,16,193,2,1,14,1086,111,3.71,1.372,8.5,0.9,3.9,6.8,1.77,Left,No
3,1970,SP,Mike Torrez,23,8,10,0.444,4.22,30,28,1,5,1,0,179.1,168,96,84,12,103,10,100,4,0,9,799,98,4.18,1.511,8.4,0.6,5.2,5.0,0.97,Right,No
4,1970,SP,Jerry Reuss,21,7,8,0.467,4.1,20,20,0,5,2,0,127.1,132,62,58,9,49,2,74,1,1,8,548,101,3.57,1.421,9.3,0.6,3.5,5.2,1.51,Left,No
5,1970,SP,Nelson Briles,26,6,7,0.462,6.24,30,19,6,1,1,0,106.2,129,84,74,14,36,7,59,2,1,5,484,66,4.31,1.547,10.9,1.2,3.0,5.0,1.64,Right,No
6,1970,CL,Chuck Taylor,28,6,7,0.462,3.11,56,7,22,1,1,8,124.1,116,47,43,5,31,10,64,2,0,3,500,133,2.93,1.182,8.4,0.4,2.2,4.6,2.06,Right,No
7,1970,RP,Frank Linzy,29,3,5,0.375,3.67,47,0,21,0,0,2,61.1,66,26,25,3,23,10,19,0,0,2,263,113,3.78,1.451,9.7,0.4,3.4,2.8,0.83,Right,No
8,1970,RP,Sal Campisi,27,2,2,0.5,2.92,37,0,15,0,0,4,49.1,53,19,16,2,37,11,26,3,1,3,232,143,4.54,1.824,9.7,0.4,6.8,4.7,0.7,Right,No
9,1970,RP,Billy McCool,25,0,3,0.0,6.23,18,0,3,0,0,1,21.2,20,15,15,0,16,0,12,0,0,3,99,68,3.75,1.662,8.3,0.0,6.6,5.0,0.75,Left,No
10,1970,RP,Tom Hilgendorf,28,0,4,0.0,3.92,23,0,12,0,0,3,20.2,22,11,9,0,13,5,13,0,1,3,97,107,3.27,1.694,9.6,0.0,5.7,5.7,1.0,Left,No
11,1970,,George Culver,26,3,3,0.5,4.61,11,7,1,2,0,0,56.2,64,31,29,6,24,4,23,1,0,3,252,90,4.53,1.553,10.2,1.0,3.8,3.7,0.96,Right,No
12,1970,,Frank Bertaina,26,1,2,0.333,3.16,8,5,1,0,0,0,31.1,36,16,11,1,15,3,14,0,0,3,142,132,3.6,1.628,10.3,0.3,4.3,4.0,0.93,Left,No
13,1970,,Reggie Cleveland,22,0,4,0.0,7.62,16,1,5,0,0,0,26.0,31,27,22,3,18,6,22,0,0,2,129,55,4.52,1.885,10.7,1.0,6.2,7.6,1.22,Right,No
14,1970,,Harry Parker,22,1,1,0.5,3.22,7,4,1,0,0,0,22.1,24,13,8,0,15,0,9,0,0,0,105,130,3.85,1.746,9.7,0.0,6.0,3.6,0.6,Right,No
15,1970,,Al Hrabosky,20,2,1,0.667,4.74,16,1,7,0,0,0,19.0,22,10,10,2,7,1,12,0,0,1,85,89,3.85,1.526,10.4,0.9,3.3,5.7,1.71,Left,No
16,1970,,Ted Abernathy,37,1,0,1.0,2.95,11,0,3,0,0,1,18.1,15,6,6,0,12,4,8,3,0,1,82,143,4.22,1.473,7.4,0.0,5.9,3.9,0.67,Right,No
17,1970,,Bob Chlupsa,24,0,2,0.0,8.82,14,0,6,0,0,0,16.1,26,16,16,2,9,3,10,0,0,0,83,48,4.66,2.143,14.3,1.1,5.0,5.5,1.11,Right,No
18,1970,,Santiago Guzmán,20,1,1,0.5,7.24,8,3,1,1,0,0,13.2,14,12,11,1,13,0,9,0,1,0,64,59,5.13,1.976,9.2,0.7,8.6,5.9,0.69,Right,No
19,1970,,Chuck Hartenstein,28,0,0,0.0,8.78,6,0,1,0,0,0,13.1,24,13,13,1,5,0,9,0,0,1,71,48,3.39,2.175,16.2,0.7,3.4,6.1,1.8,Right,No
20,1970,,Jerry Johnson,26,2,0,1.0,3.18,7,0,3,0,0,1,11.1,6,4,4,1,3,0,5,0,0,0,44,134,3.7,0.794,4.8,0.8,2.4,4.0,1.67,Right,No
21,1970,,Rich Nye,25,0,0,0.0,4.5,6,0,2,0,0,0,8.0,13,5,4,2,6,1,5,0,0,0,43,96,6.89,2.375,14.6,2.3,6.8,5.6,0.83,Left,No
22,1970,,Fred Norman,27,0,0,0.0,0.0,1,0,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,0,2.64,1.0,9.0,0.0,0.0,0.0,0.0,Left,No
1,1969,SP,Bob Gibson,33,20,13,0.606,2.18,35,35,0,28,4,0,314.0,251,84,76,12,95,7,269,10,2,4,1270,164,2.3,1.102,7.2,0.3,2.7,7.7,2.83,Right,No
2,1969,SP,Steve Carlton,24,17,11,0.607,2.17,31,31,0,12,2,0,236.1,185,66,57,15,93,6,210,4,0,7,968,164,2.79,1.176,7.0,0.6,3.5,8.0,2.26,Left,No
3,1969,SP,Nelson Briles,25,15,13,0.536,3.52,36,33,1,10,3,0,227.2,218,104,89,17,63,7,126,2,1,9,954,101,3.23,1.234,8.6,0.7,2.5,5.0,2.0,Right,No
4,1969,SP,Ray Washburn,31,3,8,0.273,3.06,28,16,5,2,0,1,132.1,133,59,45,9,49,9,80,1,0,4,569,117,3.32,1.375,9.0,0.6,3.3,5.4,1.63,Right,No
5,1969,SP,Mike Torrez,22,10,4,0.714,3.59,24,15,2,3,0,0,107.2,96,47,43,7,62,2,61,3,0,4,467,100,4.03,1.467,8.0,0.6,5.2,5.1,0.98,Right,No
6,1969,SP,Dave Giusti,29,3,7,0.3,3.61,22,12,6,2,1,0,99.2,96,46,40,7,37,2,62,1,0,3,424,99,3.32,1.334,8.7,0.6,3.3,5.6,1.68,Right,No
7,1969,CL,Joe Hoerner,32,2,3,0.4,2.87,45,0,33,0,0,15,53.1,44,18,17,5,9,4,35,1,0,2,207,125,2.98,0.994,7.4,0.8,1.5,5.9,3.89,Left,No
8,1969,RP,Chuck Taylor,27,7,5,0.583,2.56,27,13,5,5,1,0,126.2,108,39,36,8,30,5,62,3,0,1,500,140,3.13,1.089,7.7,0.6,2.1,4.4,2.07,Right,No
9,1969,RP,Mudcat Grant,33,7,5,0.583,4.12,30,3,18,1,0,7,63.1,62,31,29,9,22,8,35,2,0,2,273,87,4.39,1.326,8.8,1.3,3.1,5.0,1.59,Right,No
10,1969,RP,Ron Willis,25,1,2,0.333,4.18,26,0,12,0,0,0,32.1,26,16,15,4,19,3,23,1,0,4,141,86,4.55,1.392,7.2,1.1,5.3,6.4,1.21,Right,No
11,1969,RP,Gary Waslewski,27,0,2,0.0,3.92,12,0,7,0,0,1,20.2,19,9,9,3,8,4,16,1,0,1,89,93,4.15,1.306,8.3,1.3,3.5,7.0,2.0,Right,No
12,1969,,Sal Campisi,26,1,0,1.0,0.93,7,0,4,0,0,0,9.2,4,1,1,0,6,2,7,0,0,1,40,400,2.92,1.034,3.7,0.0,5.6,6.5,1.17,Right,No
13,1969,,Santiago Guzmán,19,0,1,0.0,4.91,1,1,0,0,0,0,7.1,9,4,4,2,3,1,7,0,0,0,31,77,5.37,1.636,11.0,2.5,3.7,8.6,2.33,Right,No
14,1969,,Jerry Reuss,20,1,0,1.0,0.0,1,1,0,0,0,0,7.0,2,0,0,0,3,0,3,2,1,0,27,0,3.79,0.714,2.6,0.0,3.9,3.9,1.0,Left,No
15,1969,,Tom Hilgendorf,27,0,0,0.0,1.42,6,0,3,0,0,2,6.1,3,1,1,0,2,0,2,0,0,1,25,268,2.82,0.789,4.3,0.0,2.8,2.8,1.0,Left,No
16,1969,,Mel Nelson,33,0,1,0.0,11.81,8,0,2,0,0,0,5.1,13,7,7,0,3,0,3,0,0,0,30,33,3.07,3.0,21.9,0.0,5.1,5.1,1.0,Left,No
17,1969,,Jim Ellis,24,0,0,0.0,1.69,2,1,1,0,0,0,5.1,7,1,1,0,3,1,0,0,0,0,25,228,4.2,1.875,11.8,0.0,5.1,0.0,0.0,Left,No
18,1969,,Reggie Cleveland,21,0,0,0.0,9.0,1,1,0,0,0,0,4.0,7,4,4,0,1,0,3,0,0,0,20,44,1.76,2.0,15.8,0.0,2.3,6.8,3.0,Right,No
19,1969,,Dennis Ribant,27,0,0,0.0,13.5,1,0,0,0,0,0,1.1,4,2,2,1,1,0,0,0,0,0,9,35,14.51,3.75,27.0,6.8,6.8,0.0,0.0,Right,No
20,1969,,Vic Davalillo,29,0,0,0.0,inf,2,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0,0,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Left,No
1,1968,SP,Bob Gibson,32,22,9,0.71,1.12,34,34,0,28,13,0,304.2,198,49,38,11,62,6,268,7,0,4,1161,258,1.77,0.853,5.8,0.3,1.8,7.9,4.32,Right,No
2,1968,SP,Nelson Briles,24,19,11,0.633,2.81,33,33,0,13,4,0,243.2,251,90,76,18,55,12,141,7,0,4,1024,103,2.95,1.256,9.3,0.7,2.0,5.2,2.56,Right,No
3,1968,SP,Steve Carlton,23,13,11,0.542,2.99,34,33,1,10,5,0,232.0,214,87,77,11,61,4,162,3,0,6,954,97,2.43,1.185,8.3,0.4,2.4,6.3,2.66,Left,No
4,1968,SP,Ray Washburn,30,14,8,0.636,2.26,31,30,1,8,4,0,215.1,191,67,54,9,47,7,124,1,0,3,861,129,2.45,1.105,8.0,0.4,2.0,5.2,2.64,Right,No
5,1968,SP,Larry Jaster,24,9,13,0.409,3.51,31,21,6,3,1,0,153.2,153,63,60,13,38,5,70,6,0,2,644,83,3.43,1.243,9.0,0.8,2.2,4.1,1.84,Left,No
6,1968,CL,Joe Hoerner,31,8,2,0.8,1.47,47,0,33,0,0,17,49.0,34,9,8,2,12,4,42,0,0,3,194,199,1.94,0.939,6.2,0.4,2.2,7.7,3.5,Left,No
7,1968,RP,Ron Willis,24,2,3,0.4,3.39,48,0,15,0,0,4,63.2,50,25,24,4,28,11,39,1,0,1,270,86,3.34,1.225,7.1,0.6,4.0,5.5,1.39,Right,No
8,1968,RP,Dick Hughes,30,2,2,0.5,3.53,25,5,8,0,0,4,63.2,45,25,25,7,21,3,49,0,0,1,249,83,3.26,1.037,6.4,1.0,3.0,6.9,2.33,Right,No
9,1968,RP,Mel Nelson,32,2,1,0.667,2.91,18,4,8,1,0,1,52.2,49,20,17,3,9,3,16,0,0,0,212,101,3.03,1.101,8.4,0.5,1.5,2.7,1.78,Left,No
10,1968,RP,Wayne Granger,24,4,2,0.667,2.25,34,0,19,0,0,4,44.0,40,14,11,2,12,3,27,2,0,2,184,130,2.7,1.182,8.2,0.4,2.5,5.5,2.25,Right,No
11,1968,,Hal Gilson,26,0,2,0.0,4.57,13,0,6,0,0,2,21.2,27,11,11,1,11,1,19,0,0,1,101,65,2.75,1.754,11.2,0.4,4.6,7.9,1.73,Left,No
12,1968,,Mike Torrez,21,2,1,0.667,2.84,5,2,0,0,0,0,19.0,20,7,6,1,12,0,6,1,0,2,87,105,4.49,1.684,9.5,0.5,5.7,2.8,0.5,Right,No
13,1968,,Pete Mikkelsen,28,0,0,0.0,1.13,5,0,2,0,0,0,16.0,10,5,2,0,7,3,8,0,0,1,65,266,2.7,1.063,5.6,0.0,3.9,4.5,1.14,Right,No
1,1967,SP,Dick Hughes,29,16,6,0.727,2.67,37,27,6,12,3,3,222.1,164,72,66,22,48,6,161,5,2,7,871,123,3.09,0.954,6.6,0.9,1.9,6.5,3.35,Right,No
2,1967,SP,Steve Carlton,22,14,9,0.609,2.98,30,28,1,11,2,1,193.0,173,71,64,10,62,1,168,2,0,6,802,110,2.47,1.218,8.1,0.5,2.9,7.8,2.71,Left,No
3,1967,SP,Ray Washburn,29,10,7,0.588,3.53,27,27,0,3,1,0,186.1,190,78,73,14,42,7,98,4,0,2,777,93,3.2,1.245,9.2,0.7,2.0,4.7,2.33,Right,No
4,1967,SP,Bob Gibson,31,13,7,0.65,2.98,24,24,0,10,2,0,175.1,151,62,58,10,40,3,147,3,1,3,703,110,2.34,1.089,7.8,0.5,2.1,7.5,3.68,Right,No
5,1967,SP,Larry Jaster,23,9,7,0.563,3.01,34,23,5,2,1,3,152.1,141,57,51,12,44,6,87,2,1,0,635,109,3.33,1.214,8.3,0.7,2.6,5.1,1.98,Left,No
6,1967,CL,Joe Hoerner,30,4,4,0.5,2.59,57,0,32,0,0,14,66.0,52,25,19,5,20,6,50,1,0,0,268,127,2.96,1.091,7.1,0.7,2.7,6.8,2.5,Left,No
7,1967,RP,Nelson Briles,23,14,5,0.737,2.43,49,14,14,4,2,6,155.1,139,45,42,8,40,8,94,5,2,8,642,135,2.87,1.152,8.1,0.5,2.3,5.4,2.35,Right,No
8,1967,RP,Al Jackson,31,9,4,0.692,3.95,39,11,13,1,1,1,107.0,117,61,47,7,29,5,43,1,0,2,460,83,3.43,1.364,9.8,0.6,2.4,3.6,1.48,Left,No
9,1967,RP,Ron Willis,23,6,5,0.545,2.67,65,0,24,0,0,10,81.0,76,27,24,3,43,20,42,3,0,5,350,124,3.69,1.469,8.4,0.3,4.8,4.7,0.98,Right,No
10,1967,RP,Hal Woodeshick,34,2,1,0.667,5.18,36,0,8,0,0,2,41.2,41,29,24,2,28,9,20,3,0,3,199,64,4.44,1.656,8.9,0.4,6.0,4.3,0.71,Left,No
11,1967,,Jack Lamabe,30,3,4,0.429,2.83,23,1,10,1,1,4,47.2,43,16,15,2,10,3,30,0,0,0,190,117,2.46,1.112,8.1,0.4,1.9,5.7,3.0,Right,No
12,1967,,Jim Cosman,24,1,0,1.0,3.16,10,5,2,0,0,0,31.1,21,12,11,2,24,2,11,5,1,2,139,105,5.44,1.436,6.0,0.6,6.9,3.2,0.46,Right,No
13,1967,,Mike Torrez,20,0,1,0.0,3.18,3,1,2,0,0,0,5.2,5,2,2,0,1,0,5,1,0,0,23,112,1.83,1.059,7.9,0.0,1.6,7.9,5.0,Right,No
1,1966,SP,Bob Gibson,30,21,12,0.636,2.44,35,35,0,20,5,0,280.1,210,90,76,20,78,5,225,5,0,12,1119,148,2.76,1.027,6.7,0.6,2.5,7.2,2.88,Right,No
2,1966,SP,Al Jackson,30,13,15,0.464,2.51,36,30,2,11,3,0,232.2,222,82,65,18,45,10,90,3,1,4,950,144,3.41,1.148,8.6,0.7,1.7,3.5,2.0,Left,No
3,1966,SP,Ray Washburn,28,11,9,0.55,3.76,27,26,1,4,1,0,170.0,183,75,71,15,44,5,98,1,2,1,712,96,3.34,1.335,9.7,0.8,2.3,5.2,2.23,Right,No
4,1966,SP,Larry Jaster,22,11,5,0.688,3.26,26,21,1,6,5,0,151.2,124,57,55,17,45,5,92,5,0,3,608,111,3.79,1.114,7.4,1.0,2.7,5.5,2.04,Left,No
5,1966,CL,Joe Hoerner,29,5,1,0.833,1.54,57,0,39,0,0,13,76.0,57,16,13,5,21,8,63,4,1,1,303,236,2.74,1.026,6.8,0.6,2.5,7.5,3.0,Left,No
6,1966,RP,Nelson Briles,22,4,15,0.211,3.21,49,17,17,0,0,6,154.0,162,65,55,14,54,11,100,7,0,3,654,113,3.63,1.403,9.5,0.8,3.2,5.8,1.85,Right,No
7,1966,RP,Hal Woodeshick,33,2,1,0.667,1.92,59,0,23,0,0,4,70.1,57,17,15,5,23,6,30,1,1,2,282,189,3.65,1.137,7.3,0.6,2.9,3.8,1.3,Left,No
8,1966,RP,Don Dennis,24,4,2,0.667,4.98,38,1,14,0,0,2,59.2,73,36,33,8,17,10,25,1,0,1,265,73,4.36,1.508,11.0,1.2,2.6,3.8,1.47,Right,No
9,1966,RP,Tracy Stallard,28,1,5,0.167,5.68,20,7,1,0,0,1,52.1,65,40,33,9,25,4,35,2,0,5,244,64,5.0,1.72,11.2,1.5,4.3,6.0,1.4,Right,No
10,1966,,Steve Carlton,21,3,3,0.5,3.12,9,9,0,2,1,0,52.0,56,22,18,2,18,1,25,0,1,2,223,117,3.13,1.423,9.7,0.3,3.1,4.3,1.39,Left,No
11,1966,,Art Mahaffey,28,1,4,0.2,6.43,12,5,1,0,0,1,35.0,37,27,25,7,21,4,19,1,0,5,159,57,5.95,1.657,9.5,1.8,5.4,4.9,0.9,Right,No
12,1966,,Curt Simmons,37,1,1,0.5,4.59,10,5,2,1,0,0,33.1,35,17,17,3,14,2,14,0,0,0,147,80,4.14,1.47,9.5,0.8,3.8,3.8,1.0,Left,No
13,1966,,Ron Piche,31,1,3,0.25,4.26,20,0,5,0,0,2,25.1,21,13,12,4,18,4,21,1,1,2,119,86,5.2,1.539,7.5,1.4,6.4,7.5,1.17,Right,No
14,1966,,Ray Sadecki,25,2,1,0.667,2.22,5,3,0,1,0,0,24.1,16,9,6,2,9,0,21,0,0,1,96,165,3.01,1.027,5.9,0.7,3.3,7.8,2.33,Left,No
15,1966,,Dick Hughes,28,2,1,0.667,1.71,6,2,3,1,1,1,21.0,12,4,4,0,7,3,20,2,0,0,85,215,1.93,0.905,5.1,0.0,3.0,8.6,2.86,Right,No
16,1966,,Dennis Aust,25,0,1,0.0,6.52,9,0,5,0,0,1,9.2,12,7,7,1,6,2,7,0,0,0,46,58,4.31,1.862,11.2,0.9,5.6,6.5,1.17,Right,No
17,1966,,Jim Cosman,23,1,0,1.0,0.0,1,1,0,1,1,0,9.0,2,0,0,0,2,0,5,1,0,0,30,0,2.44,0.444,2.0,0.0,2.0,5.0,2.5,Right,No
18,1966,,Ron Willis,22,0,0,0.0,0.0,4,0,1,0,0,1,3.0,1,0,0,0,1,1,2,0,0,0,11,0,2.22,0.667,3.0,0.0,3.0,6.0,2.0,Right,No
1,1965,SP,Bob Gibson,29,20,12,0.625,3.07,38,36,1,20,6,1,299.0,243,110,102,34,103,6,270,11,1,8,1233,126,3.33,1.157,7.3,1.0,3.1,8.1,2.62,Right,No
2,1965,SP,Curt Simmons,36,9,15,0.375,4.08,34,32,1,5,0,0,203.0,229,104,92,19,54,8,96,4,0,5,881,95,3.65,1.394,10.2,0.8,2.4,4.3,1.78,Left,No
3,1965,SP,Tracy Stallard,27,11,8,0.579,3.38,40,26,3,4,1,0,194.1,172,83,73,25,70,4,99,6,0,8,824,114,4.34,1.245,8.0,1.2,3.2,4.6,1.41,Right,No
4,1965,SP,Ray Sadecki,24,6,15,0.286,5.21,36,28,3,4,0,1,172.2,192,107,100,26,64,4,122,0,0,6,754,74,4.17,1.483,10.0,1.4,3.3,6.4,1.91,Left,No
5,1965,SP,Bob Purkey,35,10,9,0.526,5.79,32,17,10,3,1,2,124.1,148,83,80,20,33,4,39,7,1,2,549,67,4.95,1.456,10.7,1.4,2.4,2.8,1.18,Right,No
6,1965,SP,Ray Washburn,27,9,11,0.45,3.62,28,16,8,1,1,2,119.1,114,57,48,15,28,7,67,1,0,3,490,107,3.76,1.19,8.6,1.1,2.1,5.1,2.39,Right,No
7,1965,CL,Hal Woodeshick,32,3,2,0.6,1.81,51,0,34,0,0,15,59.2,47,14,12,1,27,11,37,2,0,4,244,215,2.95,1.24,7.1,0.2,4.1,5.6,1.37,Left,No
8,1965,RP,Nelson Briles,21,3,3,0.5,3.5,37,2,14,0,0,4,82.1,79,33,32,4,26,6,52,6,0,2,341,111,3.05,1.275,8.6,0.4,2.8,5.7,2.0,Right,No
9,1965,RP,Don Dennis,23,2,3,0.4,2.29,41,0,13,0,0,6,55.0,47,17,14,3,16,11,29,1,0,1,221,170,3.1,1.145,7.7,0.5,2.6,4.7,1.81,Right,No
10,1965,RP,Ron Taylor,27,2,1,0.667,4.53,25,0,9,0,0,1,43.2,43,24,22,6,15,4,26,1,0,1,185,86,4.21,1.328,8.9,1.2,3.1,5.4,1.73,Right,No
11,1965,RP,Barney Schultz,38,2,2,0.5,3.83,34,0,18,0,0,2,42.1,39,22,18,8,11,3,38,0,0,1,175,102,3.96,1.181,8.3,1.7,2.3,8.1,3.45,Right,No
12,1965,,Larry Jaster,21,3,0,1.0,1.61,4,3,0,3,0,0,28.0,21,5,5,1,7,0,10,0,0,0,110,243,3.02,1.0,6.8,0.3,2.3,3.2,1.43,Left,No
13,1965,,Steve Carlton,20,0,0,0.0,2.52,15,2,5,0,0,0,25.0,27,7,7,3,8,1,21,1,0,5,104,156,3.48,1.4,9.7,1.1,2.9,7.6,2.63,Left,No
14,1965,,Dennis Aust,24,0,0,0.0,4.91,6,0,3,0,0,1,7.1,6,4,4,0,2,1,7,0,0,0,31,83,1.43,1.091,7.4,0.0,2.5,8.6,3.5,Right,No
15,1965,,Earl Francis,29,0,0,0.0,5.06,2,0,0,0,0,0,5.1,7,4,3,1,3,2,3,0,0,1,26,82,5.52,1.875,11.8,1.7,5.1,5.1,1.0,Right,No
1,1964,SP,Bob Gibson,28,19,12,0.613,3.01,40,36,3,17,2,1,287.1,250,106,96,25,86,9,245,9,0,6,1191,127,3.02,1.169,7.8,0.8,2.7,7.7,2.85,Right,No
2,1964,SP,Curt Simmons,35,18,9,0.667,3.43,34,34,0,12,3,0,244.0,233,106,93,24,49,1,104,5,0,1,1006,111,3.7,1.156,8.6,0.9,1.8,3.8,2.12,Left,No
